,Customer Name,recency,Spent,Date Last Quarter,Customer ID,Number of Orders,segment,segment_name
32,Postgraduate,4,1196.0,10/10/2012,32,17,3,Habituel
33,Postgraduate,55,65.0,29-10-2012,33,5,2,Zappeur
34,Postgraduate,37,913.0,20-02-2013,34,23,3,Habituel
35,Undergraduate,76,81.0,29-08-2013,35,6,2,Zappeur
36,Graduate,99,67.0,31-12-2013,36,5,2,Zappeur
37,Postgraduate,53,902.0,2/9/2013,37,22,3,Habituel
38,Graduate,3,1395.0,11/2/2014,38,19,3,Habituel
39,Postgraduate,88,53.0,1/2/2013,39,5,2,Zappeur
40,Graduate,4,22.0,29-04-2013,40,3,2,Zappeur
41,Postgraduate,19,31.0,12/3/2013,41,5,2,Zappeur
42,Graduate,72,984.0,24-12-2012,42,15,3,Habituel
43,Undergraduate,24,122.0,5/11/2013,43,7,2,Zappeur
44,Graduate,92,55.0,2/10/2013,44,4,2,Zappeur
45,Postgraduate,39,1319.0,28-06-2014,45,19,3,Habituel
46,Graduate,29,507.0,9/11/2012,46,16,0,Potentiel
47,Postgraduate,2,1693.0,24-05-2013,47,28,1,Fidele
48,Graduate,54,72.0,1/1/2014,48,5,2,Zappeur
49,Graduate,54,1617.0,8/11/2012,49,20,1,Fidele
50,Graduate,57,606.0,12/5/2014,50,16,0,Potentiel
51,Postgraduate,55,1957.0,11/8/2012,51,26,1,Fidele
52,Graduate,30,1093.0,2/1/2013,52,20,3,Habituel
53,Graduate,31,29.0,7/6/2014,53,5,2,Zappeur
54,Postgraduate,63,518.0,12/6/2013,54,16,0,Potentiel
55,Postgraduate,12,1438.0,19-11-2012,55,20,1,Fidele
56,Graduate,18,612.0,2/4/2013,56,18,0,Potentiel
57,Graduate,26,884.0,28-04-2014,57,20,3,Habituel
58,Postgraduate,8,606.0,17-06-2013,58,18,0,Potentiel
59,Graduate,29,1076.0,3/3/2014,59,15,3,Habituel
60,Graduate,75,34.0,4/7/2013,60,4,2,Zappeur
61,Graduate,0,11.0,7/9/2012,61,3,2,Zappeur
62,Undergraduate,19,1274.0,18-02-2013,62,31,3,Habituel
63,Graduate,4,653.0,11/6/2013,63,17,0,Potentiel
64,Graduate,90,1562.0,6/12/2013,64,12,1,Fidele
65,Postgraduate,1,1253.0,21-05-2013,65,18,3,Habituel
66,Graduate,29,863.0,11/5/2014,66,26,3,Habituel
67,Postgraduate,88,661.0,19-03-2014,67,19,0,Potentiel
68,Graduate,58,65.0,27-09-2013,68,7,2,Zappeur
69,Graduate,68,13.0,8/4/2013,69,3,2,Zappeur
70,Postgraduate,34,1890.0,11/9/2012,70,18,1,Fidele
71,Graduate,40,2209.0,14-09-2012,71,22,1,Fidele
72,Undergraduate,12,18.0,17-03-2013,72,3,2,Zappeur
73,Graduate,9,692.0,5/4/2013,73,19,0,Potentiel
74,Graduate,87,165.0,30-04-2014,74,8,2,Zappeur
75,Graduate,5,16.0,19-12-2012,75,3,2,Zappeur
76,Undergraduate,87,79.0,27-08-2012,76,6,2,Zappeur
77,Postgraduate,56,318.0,12/10/2012,77,10,2,Zappeur
78,Graduate,18,778.0,4/9/2013,78,26,0,Potentiel
79,Graduate,95,56.0,2/1/2013,79,5,2,Zappeur
80,Postgraduate,48,151.0,29-08-2012,80,8,2,Zappeur
81,Graduate,3,372.0,23-06-2013,81,13,0,Potentiel
82,Graduate,70,1366.0,3/7/2013,82,18,3,Habituel
83,Graduate,79,194.0,11/5/2013,83,9,2,Zappeur
84,Postgraduate,69,32.0,25-02-2014,84,4,2,Zappeur
85,Postgraduate,84,43.0,11/8/2013,85,7,2,Zappeur
86,Graduate,30,45.0,16-07-2013,86,5,2,Zappeur
87,Graduate,72,606.0,28-05-2014,87,17,0,Potentiel
88,Graduate,37,63.0,12/5/2014,88,5,2,Zappeur
89,Undergraduate,44,978.0,21-01-2014,89,24,3,Habituel
90,Postgraduate,32,410.0,19-11-2012,90,14,0,Potentiel
91,Undergraduate,0,72.0,27-05-2014,91,5,2,Zappeur
92,Postgraduate,43,55.0,23-11-2013,92,5,2,Zappeur
93,Graduate,59,1169.0,23-03-2014,93,25,3,Habituel
94,Postgraduate,68,1120.0,24-05-2014,94,15,3,Habituel
95,Graduate,35,1097.0,22-05-2014,95,19,3,Habituel
96,Undergraduate,94,29.0,22-11-2012,96,4,2,Zappeur
97,Graduate,15,187.0,11/4/2013,97,9,2,Zappeur
98,Graduate,56,910.0,1/12/2013,98,22,3,Habituel
99,Graduate,17,145.0,20-06-2013,99,7,2,Zappeur
100,Postgraduate,18,850.0,23-07-2013,100,13,3,Habituel
101,Graduate,46,969.0,30-03-2014,101,23,3,Habituel
102,Postgraduate,40,1820.0,20-04-2013,102,16,1,Fidele
103,Postgraduate,27,608.0,17-05-2013,103,17,0,Potentiel
104,Graduate,95,730.0,8/5/2014,104,24,0,Potentiel
105,Postgraduate,19,551.0,10/12/2013,105,16,0,Potentiel
106,Graduate,27,114.0,24-09-2013,106,6,2,Zappeur
107,Graduate,25,1724.0,2/2/2013,107,15,1,Fidele
108,Undergraduate,74,577.0,19-12-2012,108,15,0,Potentiel
109,Undergraduate,85,81.0,7/12/2012,109,5,2,Zappeur
110,Graduate,37,33.0,2/11/2013,110,5,2,Zappeur
111,Postgraduate,65,660.0,10/11/2012,111,18,0,Potentiel
112,Postgraduate,13,80.0,25-06-2014,112,6,2,Zappeur
113,Postgraduate,63,30.0,2/1/2013,113,4,2,Zappeur
114,Graduate,83,43.0,12/12/2012,114,4,2,Zappeur
115,Graduate,69,1135.0,10/9/2013,115,27,3,Habituel
116,Undergraduate,87,559.0,24-01-2014,116,14,0,Potentiel
117,Graduate,37,1923.0,19-02-2013,117,15,1,Fidele
118,Postgraduate,51,90.0,11/7/2013,118,6,2,Zappeur
119,Postgraduate,72,661.0,14-11-2013,119,19,0,Potentiel
120,Graduate,10,463.0,20-06-2013,120,14,0,Potentiel
121,Postgraduate,42,632.0,24-02-2014,121,18,0,Potentiel
122,Graduate,10,725.0,4/9/2013,122,18,0,Potentiel
123,Postgraduate,51,279.0,22-04-2013,123,11,2,Zappeur
124,Postgraduate,21,1482.0,12/3/2013,124,22,1,Fidele
125,Undergraduate,31,29.0,18-02-2013,125,4,2,Zappeur
126,Postgraduate,61,106.0,21-04-2013,126,6,2,Zappeur
127,Postgraduate,37,49.0,8/6/2014,127,4,2,Zappeur
128,Postgraduate,74,38.0,11/7/2013,128,5,2,Zappeur
129,Postgraduate,46,2077.0,10/5/2014,129,21,1,Fidele
130,Postgraduate,4,1053.0,30-09-2013,130,15,3,Habituel
131,Graduate,73,1385.0,10/3/2013,131,22,3,Habituel
132,Postgraduate,47,871.0,10/2/2014,132,22,3,Habituel
133,Graduate,13,312.0,11/8/2013,133,9,2,Zappeur
134,Graduate,36,877.0,14-08-2013,134,12,3,Habituel
135,Graduate,47,68.0,17-03-2013,135,5,2,Zappeur
136,Graduate,49,22.0,8/8/2012,136,3,2,Zappeur
137,Undergraduate,94,211.0,7/7/2013,137,9,2,Zappeur
138,Postgraduate,65,127.0,19-05-2014,138,7,2,Zappeur
139,Postgraduate,59,459.0,28-07-2013,139,15,0,Potentiel
140,Graduate,96,460.0,19-10-2012,140,15,0,Potentiel
141,Undergraduate,28,429.0,14-11-2013,141,13,0,Potentiel
142,Graduate,12,89.0,19-04-2013,142,7,2,Zappeur
143,Postgraduate,57,1021.0,28-08-2013,143,24,3,Habituel
144,Graduate,10,1381.0,19-03-2013,144,20,3,Habituel
145,Graduate,4,306.0,18-10-2012,145,12,2,Zappeur
146,Graduate,49,18.0,28-10-2012,146,3,2,Zappeur
147,Graduate,3,162.0,28-08-2013,147,8,2,Zappeur
148,Graduate,64,1231.0,22-08-2012,148,17,3,Habituel
149,Postgraduate,0,13.0,21-06-2014,149,3,2,Zappeur
150,Postgraduate,20,1706.0,24-04-2014,150,25,1,Fidele
151,Graduate,91,121.0,7/3/2014,151,7,2,Zappeur
152,Postgraduate,9,1293.0,14-12-2012,152,19,3,Habituel
153,Postgraduate,98,1608.0,12/5/2014,153,22,1,Fidele
154,Graduate,83,88.0,9/10/2012,154,6,2,Zappeur
155,Graduate,27,421.0,19-02-2013,155,17,0,Potentiel
156,Graduate,63,259.0,8/7/2013,156,11,2,Zappeur
157,Graduate,46,1117.0,12/9/2013,157,14,3,Habituel
158,Graduate,84,89.0,17-10-2013,158,6,2,Zappeur
159,Graduate,58,36.0,20-08-2013,159,4,2,Zappeur
160,Graduate,78,57.0,1/7/2013,160,5,2,Zappeur
161,Graduate,4,148.0,5/11/2012,161,7,2,Zappeur
162,Postgraduate,17,93.0,5/1/2014,162,6,2,Zappeur
163,Graduate,77,119.0,1/5/2013,163,6,2,Zappeur
164,Postgraduate,56,1835.0,1/3/2014,164,27,1,Fidele
165,Postgraduate,79,1318.0,13-11-2013,165,24,3,Habituel
166,Postgraduate,90,45.0,18-11-2013,166,5,2,Zappeur
167,Graduate,96,10.0,28-08-2013,167,3,2,Zappeur
168,Undergraduate,44,978.0,2/11/2013,168,24,3,Habituel
169,Postgraduate,81,191.0,25-02-2014,169,9,2,Zappeur
170,Undergraduate,77,57.0,21-04-2014,170,6,2,Zappeur
171,Postgraduate,21,1033.0,13-07-2013,171,23,3,Habituel
172,Postgraduate,16,66.0,21-04-2014,172,5,2,Zappeur
173,Undergraduate,80,43.0,30-01-2014,173,5,2,Zappeur
174,Graduate,45,50.0,4/4/2014,174,4,2,Zappeur
175,Postgraduate,63,39.0,12/9/2012,175,5,2,Zappeur
176,Graduate,34,608.0,16-12-2012,176,16,0,Potentiel
177,Graduate,14,1581.0,23-05-2014,177,23,1,Fidele
178,Postgraduate,13,68.0,24-06-2014,178,5,2,Zappeur
179,Undergraduate,52,80.0,1/12/2013,179,4,2,Zappeur
180,Postgraduate,98,1282.0,11/5/2014,180,27,3,Habituel
181,Graduate,93,91.0,10/5/2014,181,6,2,Zappeur
182,Graduate,38,315.0,28-09-2013,182,12,2,Zappeur
183,Graduate,24,31.0,22-01-2014,183,4,2,Zappeur
184,Postgraduate,80,834.0,15-06-2014,184,22,0,Potentiel
185,Graduate,82,1600.0,5/12/2012,185,16,1,Fidele
186,Graduate,20,1270.0,8/3/2014,186,16,3,Habituel
187,Postgraduate,81,263.0,2/8/2013,187,9,2,Zappeur
188,Graduate,50,535.0,19-03-2013,188,16,0,Potentiel
189,Graduate,60,1295.0,23-02-2013,189,17,3,Habituel
190,Graduate,63,1150.0,9/9/2012,190,26,3,Habituel
191,Postgraduate,54,1240.0,17-05-2013,191,26,3,Habituel
192,Postgraduate,72,38.0,26-09-2013,192,4,2,Zappeur
193,Postgraduate,5,35.0,30-05-2013,193,3,2,Zappeur
194,Graduate,88,53.0,18-02-2013,194,4,2,Zappeur
195,Postgraduate,50,293.0,29-12-2013,195,11,2,Zappeur
196,Graduate,99,65.0,13-05-2014,196,5,2,Zappeur
197,Graduate,17,1804.0,19-09-2013,197,24,1,Fidele
198,Graduate,11,241.0,17-01-2013,198,10,2,Zappeur
199,Graduate,18,1101.0,31-03-2014,199,19,3,Habituel
200,Postgraduate,70,264.0,29-06-2014,200,11,2,Zappeur
201,Postgraduate,21,541.0,9/12/2013,201,16,0,Potentiel
202,Graduate,66,1198.0,14-10-2013,202,16,3,Habituel
203,Graduate,79,482.0,2/11/2012,203,14,0,Potentiel
204,Undergraduate,2,17.0,17-07-2013,204,3,2,Zappeur
205,Postgraduate,81,1615.0,10/11/2012,205,24,1,Fidele
206,Postgraduate,24,285.0,8/12/2013,206,10,2,Zappeur
207,Graduate,48,1135.0,13-05-2013,207,26,3,Habituel
208,Undergraduate,93,114.0,8/6/2014,208,6,2,Zappeur
209,Graduate,56,1047.0,10/9/2012,209,15,3,Habituel
210,Postgraduate,3,714.0,31-03-2013,210,20,0,Potentiel
211,Postgraduate,44,185.0,18-03-2014,211,9,2,Zappeur
212,Graduate,38,1245.0,5/10/2012,212,27,3,Habituel
213,Graduate,46,189.0,21-01-2013,213,8,2,Zappeur
214,Graduate,84,576.0,4/5/2013,214,14,0,Potentiel
215,Graduate,27,1103.0,1/4/2014,215,15,3,Habituel
216,Postgraduate,72,1753.0,12/5/2014,216,16,1,Fidele
217,Postgraduate,66,17.0,15-11-2013,217,3,2,Zappeur
218,Graduate,30,433.0,31-08-2013,218,14,0,Potentiel
219,Undergraduate,2,1588.0,14-11-2012,219,13,1,Fidele
220,Graduate,65,22.0,11/4/2014,220,3,2,Zappeur
221,Graduate,37,19.0,14-11-2013,221,4,2,Zappeur
222,Postgraduate,89,1117.0,14-04-2014,222,26,3,Habituel
223,Undergraduate,49,69.0,5/1/2013,223,6,2,Zappeur
224,Postgraduate,46,23.0,8/9/2012,224,4,2,Zappeur
225,Postgraduate,32,605.0,26-03-2013,225,18,0,Potentiel
226,Graduate,54,57.0,25-10-2012,226,7,2,Zappeur
227,Graduate,98,2088.0,9/12/2012,227,21,1,Fidele
228,Graduate,97,1009.0,8/8/2012,228,14,3,Habituel
229,Graduate,75,26.0,16-02-2014,229,4,2,Zappeur
230,Graduate,8,1627.0,20-03-2013,230,21,1,Fidele
231,Graduate,37,1102.0,5/1/2013,231,24,3,Habituel
232,Postgraduate,31,17.0,15-05-2013,232,4,2,Zappeur
233,Graduate,40,1690.0,16-04-2014,233,14,1,Fidele
234,Graduate,74,1390.0,23-03-2013,234,19,3,Habituel
235,Postgraduate,90,2126.0,9/12/2013,235,19,1,Fidele
236,Postgraduate,57,1531.0,4/12/2013,236,21,1,Fidele
237,Postgraduate,59,64.0,4/10/2013,237,5,2,Zappeur
238,Graduate,52,26.0,26-12-2013,238,4,2,Zappeur
239,Graduate,5,1112.0,17-05-2014,239,28,3,Habituel
240,Undergraduate,92,210.0,28-10-2013,240,9,2,Zappeur
241,Graduate,77,1148.0,23-12-2012,241,21,3,Habituel
242,Postgraduate,35,33.0,31-07-2013,242,4,2,Zappeur
243,Postgraduate,48,1101.0,28-11-2013,243,16,3,Habituel
244,Graduate,97,322.0,17-08-2012,244,12,2,Zappeur
245,Graduate,95,44.0,5/6/2014,245,6,2,Zappeur
246,Postgraduate,24,17.0,20-05-2013,246,3,2,Zappeur
247,Graduate,60,31.0,9/1/2013,247,4,2,Zappeur
248,Postgraduate,46,845.0,31-08-2012,248,22,3,Habituel
249,Postgraduate,85,275.0,29-10-2012,249,11,2,Zappeur
250,Postgraduate,31,25.0,16-09-2013,250,3,2,Zappeur
251,Postgraduate,9,275.0,27-10-2013,251,11,2,Zappeur
252,Postgraduate,30,90.0,5/4/2013,252,7,2,Zappeur
253,Graduate,47,1495.0,22-09-2012,253,18,1,Fidele
254,Postgraduate,70,184.0,29-08-2012,254,7,2,Zappeur
255,Graduate,13,981.0,13-10-2012,255,12,3,Habituel
256,Graduate,11,67.0,16-10-2012,256,6,2,Zappeur
257,Graduate,31,1635.0,22-10-2012,257,12,1,Fidele
258,Postgraduate,15,60.0,4/6/2013,258,7,2,Zappeur
259,Postgraduate,2,231.0,8/12/2013,259,10,2,Zappeur
260,Graduate,55,48.0,10/10/2012,260,6,2,Zappeur
261,Graduate,38,99.0,22-05-2013,261,6,2,Zappeur
262,Postgraduate,86,770.0,17-06-2014,262,21,0,Potentiel
263,Graduate,56,957.0,23-11-2012,263,21,3,Habituel
264,Postgraduate,29,818.0,3/2/2013,264,11,0,Potentiel
265,Postgraduate,30,925.0,14-03-2013,265,16,3,Habituel
266,Postgraduate,64,908.0,26-06-2014,266,21,3,Habituel
267,Undergraduate,46,102.0,15-10-2012,267,7,2,Zappeur
268,Graduate,84,576.0,19-06-2013,268,14,0,Potentiel
269,Graduate,20,317.0,4/10/2013,269,11,2,Zappeur
270,Postgraduate,74,461.0,22-09-2012,270,14,0,Potentiel
271,Postgraduate,18,37.0,20-03-2014,271,5,2,Zappeur
272,Graduate,75,70.0,4/2/2014,272,6,2,Zappeur
273,Graduate,17,930.0,6/4/2014,273,22,3,Habituel
274,Postgraduate,88,859.0,6/2/2013,274,20,3,Habituel
275,Graduate,19,1478.0,16-09-2013,275,21,1,Fidele
276,Postgraduate,62,390.0,17-01-2013,276,13,0,Potentiel
277,Undergraduate,11,52.0,30-04-2014,277,4,2,Zappeur
278,Graduate,74,137.0,2/4/2013,278,7,2,Zappeur
279,Graduate,32,1919.0,21-04-2013,279,18,1,Fidele
280,Graduate,76,68.0,11/2/2013,280,6,2,Zappeur
281,Graduate,6,25.0,25-10-2012,281,3,2,Zappeur
282,Postgraduate,62,1374.0,31-08-2012,282,20,3,Habituel
283,Undergraduate,20,32.0,1/3/2014,283,4,2,Zappeur
284,Postgraduate,43,100.0,17-04-2014,284,6,2,Zappeur
285,Graduate,45,825.0,12/7/2013,285,11,0,Potentiel
286,Postgraduate,34,916.0,29-01-2013,286,23,3,Habituel
287,Graduate,53,62.0,8/1/2013,287,7,2,Zappeur
288,Undergraduate,44,728.0,12/5/2014,288,20,0,Potentiel
289,Postgraduate,89,90.0,13-06-2013,289,6,2,Zappeur
290,Graduate,43,273.0,4/7/2013,290,10,2,Zappeur
291,Graduate,68,66.0,27-12-2013,291,7,2,Zappeur
292,Postgraduate,44,1213.0,31-10-2012,292,22,3,Habituel
293,Graduate,64,107.0,15-01-2014,293,6,2,Zappeur
294,Graduate,85,1157.0,12/3/2013,294,17,3,Habituel
295,Postgraduate,93,546.0,23-08-2012,295,17,0,Potentiel
296,Postgraduate,12,241.0,7/3/2013,296,10,2,Zappeur
297,Graduate,86,53.0,13-01-2013,297,7,2,Zappeur
298,Graduate,28,37.0,12/1/2013,298,5,2,Zappeur
299,Postgraduate,42,1508.0,17-03-2014,299,22,1,Fidele
300,Graduate,13,235.0,16-04-2014,300,10,2,Zappeur
301,Postgraduate,86,32.0,12/10/2013,301,5,2,Zappeur
302,Graduate,59,102.0,1/3/2014,302,6,2,Zappeur
303,Graduate,30,401.0,13-04-2014,303,13,0,Potentiel
304,Graduate,33,28.0,27-12-2013,304,4,2,Zappeur
305,Graduate,23,680.0,28-03-2013,305,18,0,Potentiel
306,Graduate,81,30.0,18-09-2012,306,3,2,Zappeur
307,Postgraduate,6,20.0,5/3/2014,307,3,2,Zappeur
308,Postgraduate,41,1307.0,10/9/2013,308,18,3,Habituel
309,Graduate,78,630.0,27-04-2013,309,18,0,Potentiel
310,Graduate,49,1283.0,18-01-2014,310,17,3,Habituel
311,Postgraduate,39,65.0,28-10-2013,311,6,2,Zappeur
312,Graduate,3,37.0,3/6/2013,312,4,2,Zappeur
313,Postgraduate,37,38.0,6/2/2013,313,4,2,Zappeur
314,Postgraduate,22,160.0,17-12-2013,314,8,2,Zappeur
315,Graduate,79,23.0,11/3/2014,315,3,2,Zappeur
316,Postgraduate,46,71.0,29-07-2013,316,5,2,Zappeur
317,Postgraduate,82,1161.0,14-08-2012,317,17,3,Habituel
318,Postgraduate,10,59.0,16-07-2013,318,4,2,Zappeur
319,Graduate,51,33.0,23-08-2013,319,5,2,Zappeur
320,Graduate,38,946.0,17-01-2013,320,21,3,Habituel
321,Graduate,10,1442.0,1/7/2013,321,21,1,Fidele
322,Graduate,14,62.0,9/2/2014,322,4,2,Zappeur
323,Graduate,18,1674.0,7/2/2013,323,21,1,Fidele
324,Graduate,95,1538.0,11/1/2013,324,20,1,Fidele
325,Graduate,11,139.0,5/7/2013,325,7,2,Zappeur
326,Postgraduate,65,1182.0,2/7/2013,326,17,3,Habituel
327,Postgraduate,71,507.0,7/11/2013,327,16,0,Potentiel
328,Undergraduate,13,18.0,9/5/2013,328,3,2,Zappeur
329,Graduate,58,940.0,13-02-2013,329,15,3,Habituel
330,Graduate,65,42.0,16-04-2013,330,4,2,Zappeur
331,Graduate,0,1190.0,11/9/2013,331,14,3,Habituel
332,Graduate,33,44.0,3/4/2013,332,5,2,Zappeur
333,Postgraduate,90,16.0,10/1/2013,333,3,2,Zappeur
334,Graduate,95,835.0,30-06-2013,334,22,0,Potentiel
335,Graduate,93,1443.0,12/9/2012,335,20,1,Fidele
336,Postgraduate,38,1029.0,6/12/2012,336,15,3,Habituel
337,Graduate,18,1188.0,12/11/2012,337,17,3,Habituel
338,Postgraduate,57,1277.0,3/3/2013,338,19,3,Habituel
339,Graduate,45,49.0,26-09-2013,339,5,2,Zappeur
340,Graduate,61,99.0,10/8/2012,340,6,2,Zappeur
341,Postgraduate,6,1670.0,7/12/2013,341,14,1,Fidele
342,Postgraduate,65,900.0,23-11-2012,342,13,3,Habituel
343,Postgraduate,52,425.0,13-06-2013,343,14,0,Potentiel
344,Graduate,87,2153.0,15-08-2013,344,21,1,Fidele
345,Postgraduate,38,636.0,10/11/2013,345,18,0,Potentiel
346,Graduate,53,57.0,23-06-2013,346,7,2,Zappeur
347,Postgraduate,31,25.0,16-06-2014,347,3,2,Zappeur
348,Graduate,67,494.0,25-12-2012,348,15,0,Potentiel
349,Graduate,65,693.0,3/1/2014,349,17,0,Potentiel
350,Graduate,64,1348.0,17-12-2013,350,25,3,Habituel
351,Graduate,82,51.0,10/1/2013,351,5,2,Zappeur
352,Graduate,27,1932.0,28-10-2013,352,15,1,Fidele
353,Postgraduate,63,990.0,27-10-2012,353,14,3,Habituel
354,Undergraduate,66,30.0,22-12-2012,354,4,2,Zappeur
355,Graduate,69,254.0,29-11-2013,355,10,2,Zappeur
356,Postgraduate,52,29.0,11/5/2013,356,4,2,Zappeur
357,Graduate,45,1371.0,12/12/2012,357,19,3,Habituel
358,Postgraduate,2,73.0,20-08-2013,358,6,2,Zappeur
359,Postgraduate,86,120.0,8/10/2013,359,7,2,Zappeur
360,Graduate,23,81.0,28-09-2012,360,4,2,Zappeur
361,Graduate,13,37.0,22-03-2014,361,4,2,Zappeur
362,Postgraduate,14,1377.0,24-02-2014,362,18,3,Habituel
363,Graduate,92,51.0,23-11-2012,363,4,2,Zappeur
364,Postgraduate,38,17.0,28-12-2012,364,3,2,Zappeur
365,Graduate,74,22.0,21-08-2012,365,3,2,Zappeur
366,Graduate,14,324.0,17-05-2013,366,11,2,Zappeur
367,Undergraduate,94,211.0,16-03-2013,367,9,2,Zappeur
368,Postgraduate,33,19.0,17-11-2012,368,3,2,Zappeur
369,Graduate,32,41.0,1/12/2012,369,5,2,Zappeur
370,Postgraduate,11,492.0,22-04-2014,370,14,0,Potentiel
371,Graduate,78,1005.0,28-10-2012,371,22,3,Habituel
372,Graduate,56,114.0,29-08-2013,372,6,2,Zappeur
373,Postgraduate,57,1173.0,11/11/2012,373,16,3,Habituel
374,Graduate,7,1738.0,22-06-2013,374,19,1,Fidele
375,Postgraduate,0,222.0,18-08-2012,375,10,2,Zappeur
376,Graduate,66,1127.0,18-03-2013,376,15,3,Habituel
377,Postgraduate,86,209.0,30-12-2012,377,9,2,Zappeur
378,Postgraduate,80,787.0,2/10/2013,378,20,0,Potentiel
379,Postgraduate,56,1598.0,14-06-2013,379,23,1,Fidele
380,Graduate,18,186.0,8/1/2013,380,8,2,Zappeur
381,Graduate,51,47.0,14-11-2013,381,4,2,Zappeur
382,Graduate,71,27.0,12/12/2012,382,4,2,Zappeur
383,Undergraduate,71,96.0,22-08-2012,383,7,2,Zappeur
384,Undergraduate,80,64.0,30-03-2014,384,6,2,Zappeur
385,Graduate,2,1040.0,15-05-2013,385,22,3,Habituel
386,Graduate,83,163.0,16-10-2013,386,8,2,Zappeur
387,Graduate,29,343.0,5/10/2012,387,10,0,Potentiel
388,Postgraduate,11,446.0,30-08-2012,388,15,0,Potentiel
389,Graduate,55,41.0,8/5/2013,389,4,2,Zappeur
390,Postgraduate,19,70.0,3/1/2014,390,6,2,Zappeur
391,Postgraduate,1,272.0,9/12/2013,391,11,2,Zappeur
392,Postgraduate,19,46.0,4/5/2014,392,5,2,Zappeur
393,Graduate,28,490.0,18-04-2013,393,16,0,Potentiel
394,Undergraduate,76,79.0,25-02-2014,394,6,2,Zappeur
395,Graduate,50,915.0,6/10/2013,395,13,3,Habituel
396,Postgraduate,1,1485.0,15-09-2012,396,32,1,Fidele
397,Graduate,90,369.0,31-08-2012,397,13,0,Potentiel
398,Graduate,83,1073.0,24-12-2012,398,17,3,Habituel
399,Postgraduate,73,1242.0,9/11/2012,399,18,3,Habituel
400,Undergraduate,24,78.0,23-03-2013,400,6,2,Zappeur
401,Graduate,11,1378.0,27-09-2012,401,20,3,Habituel
402,Graduate,33,1474.0,15-08-2013,402,25,1,Fidele
403,Postgraduate,4,751.0,11/3/2013,403,20,0,Potentiel
404,Postgraduate,14,48.0,22-10-2013,404,5,2,Zappeur
405,Graduate,30,45.0,9/6/2014,405,5,2,Zappeur
406,Postgraduate,75,10.0,30-08-2012,406,3,2,Zappeur
407,Postgraduate,26,1435.0,30-05-2014,407,15,1,Fidele
408,Postgraduate,77,2119.0,6/6/2013,408,22,1,Fidele
409,Graduate,8,20.0,17-10-2012,409,3,2,Zappeur
410,Graduate,42,1795.0,17-11-2012,410,26,1,Fidele
411,Graduate,28,1188.0,9/11/2012,411,17,3,Habituel
412,Undergraduate,52,43.0,30-03-2013,412,5,2,Zappeur
413,Graduate,1,1008.0,22-08-2012,413,22,3,Habituel
414,Postgraduate,1,1688.0,23-01-2013,414,15,1,Fidele
415,Graduate,42,684.0,31-03-2014,415,16,0,Potentiel
416,Undergraduate,76,1082.0,20-11-2013,416,24,3,Habituel
417,Graduate,27,1068.0,14-02-2014,417,24,3,Habituel
418,Graduate,28,57.0,22-02-2013,418,5,2,Zappeur
419,Postgraduate,49,46.0,5/3/2013,419,4,2,Zappeur
420,Graduate,12,733.0,6/5/2014,420,20,0,Potentiel
421,Postgraduate,14,467.0,22-05-2014,421,15,0,Potentiel
